GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE
3100100001P,31,001,00001P,535,62,23,3
3100100001W,31,001,00001W,491,180,53,12
3100100002E,31,001,00002E,247.65,94.34,15.16,4.49
3100100002P,31,001,00002P,121,19,5,0
3100100002W,31,001,00002W,393.24,144.15,31.85,15.19
3100100003P,31,001,00003P,388,71,17,3
3100100003W,31,001,00003W,300.62,179.12,20.02,0.96
3100100004P,31,001,00004P,375.19,65.4,10.26,0.36
3100100005P,31,001,00005P,341.58,75.8,16.91,2.31
3100100005W,31,001,00005W,319.09,99.21,17.68,3.97
3100100006P,31,001,00006P,127.68,30.83,5.55,1.12
3100100006W,31,001,00006W,669.29,222.76,51.62,2.05
3100100007P,31,001,00007P,158,25,7,1
3100100007W,31,001,00007W,379,140,16,5
3100100008P,31,001,00008P,221,18,7,1
3100100008W,31,001,00008W,587.45,233.01,48.38,6.91
3100100009P,31,001,00009P,271,41,10,0
3100100009W,31,001,00009W,288.27,148.83,25.07,7.83
3100100010P,31,001,00010P,135,23,10,1
3100100010W,31,001,00010W,274.56,178.8,17.8,1.69
3100100011W,31,001,00011W,376.69,175.67,33.5,12.68
3100100012W,31,001,00012W,88.55,44.99,0.62,0.09
3100100013W,31,001,00013W,804.71,296.91,52.3,6.42
3100100014W,31,001,00014W,287,182,22,2
3100100015W,31,001,00015W,372.1,198.18,27.74,7
3100100016W,31,001,00016W,169,113,24,3
3100100017W,31,001,00017W,565.32,239.99,25.53,6.92
3100300001P,31,003,00001P,253,32,6,2
3100300001W,31,003,00001W,104,25,2,0
3100300002P,31,003,00002P,117,15,1,0
3100300002W,31,003,00002W,236.14,46.02,5,2
3100300003P,31,003,00003P,284,24,23,0
3100300003W,31,003,00003W,347.81,60.7,17.88,1
3100300004P,31,003,00004P,370,26,7,1
3100300004W,31,003,00004W,128,22,8,1
3100300005P,31,003,00005P,213.05,30.28,6.12,1
3100300005W,31,003,00005W,151,26,7,3
3100300006P,31,003,00006P,198,24,2,1
3100300007P,31,003,00007P,216,30,12,5
3100300008P,31,003,00008P,114,22,8,2
3100500001P,31,005,00001P,244,17,11,0
3100700001P,31,007,00001P,357,19,14,3
31009000001,31,009,000001,276.84,30.07,10.02,0.01
3101100001P,31,011,00001P,374,62,23,4
3101100002P,31,011,00002P,85,17,3,0
3101100003P,31,011,00003P,95,37,8,1
3101100004P,31,011,00004P,308,43,20,3
3101100005P,31,011,00005P,358,50,21,1
3101100006P,31,011,00006P,369,61,20,2
3101100007P,31,011,00007P,261,94,21,6
3101100008P,31,011,00008P,143,9,6,0
3101100009P,31,011,00009P,306,41,15,0
31013001301,31,013,001301,330.93,133.08,39.04,7.01
31013001302,31,013,001302,359.11,133.64,36.15,8.79
31013001303,31,013,001303,308.82,121.93,35.98,1
31013001304,31,013,001304,444.33,131.82,22.98,5.99
31013001305,31,013,001305,500.21,136.02,21.01,7
31013001306,31,013,001306,445,152,25,1
31013001311,31,013,001311,266.75,26.26,10.81,2.2
31013001312,31,013,001312,302.6,23.13,7.59,3.02
31013001315,31,013,001315,659.82,107.18,31.47,0
31015000001,31,015,000001,405,40,11,6
31015000002,31,015,000002,371,55,8,4
31015000003,31,015,000003,206.43,32.91,3.99,2.99
3101700001P,31,017,00001P,671,83,22,4
3101700002P,31,017,00002P,280,32,11,1
3101700003P,31,017,00003P,433.97,37.99,6.02,2
31019000001,31,019,000001,682.5,219.82,39.67,9.04
31019000002,31,019,000002,440,204,40,7
31019000003,31,019,000003,667.03,259.69,59.22,8.02
31019000004,31,019,000004,943.39,325.01,46.03,8
31019000005,31,019,000005,461,196,45,2
31019000006,31,019,000006,867.1,293.38,56.88,7.98
31019000007,31,019,000007,561,297,65,13
31019000008,31,019,000008,359,123,43,5
31019000009,31,019,000009,493,261,64,12
31019000010,31,019,000010,777.37,326.24,95.07,28.01
31019000011,31,019,000011,336.62,174.69,37.36,7.03
31019000012,31,019,000012,395,258,49,26
31019000013,31,019,000013,914.53,279.79,83.87,16.07
31019000014,31,019,000014,726.73,305.29,74.87,17.95
31019000015,31,019,000015,249,21,8,3
31019000016,31,019,000016,411,74,25,3
31019000017,31,019,000017,196.95,33.62,10.21,2.05
31019000018,31,019,000018,424.05,135.38,46.79,9.95
31019000019,31,019,000019,444.93,61.61,19.56,3.91
31019000020,31,019,000020,775.31,166.21,59.72,5.97
31019000021,31,019,000021,401,71,25,2
31019000022,31,019,000022,207,55,21,1
31019000023,31,019,000023,249,77,8,4
31019000024,31,019,000024,509,141,43,2
