GEOID20,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_pau,uss_16_dem_gra,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_mcc,uss_20_dem_mcg,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv
2100100A102,KY,Adair County,00A102,655,40,605,1,1,0,0,0,8,505,22,477,1,1,0,0,0,4,211.8,10.3,176.9,39.9,65,12,57,14,194.4,25.1,NA,NA,61,13,127.7,19
2100100A104,KY,Adair County,00A104,1122,33,1058,3,1,1,0,1,25,846,20,803,3,1,1,0,1,17,372.8,29.3,315,85.2,467,86,428,100,343.9,57.2,NA,NA,447.5,93,395.7,75.1
2100100A105,KY,Adair County,00A105,788,12,762,0,0,4,0,0,10,610,5,595,0,0,4,0,0,6,280.5,30.5,257.3,53,81,14,74,18,268.9,41.8,NA,NA,77.5,16,173.2,28.9
2100100B102,KY,Adair County,00B102,2010,96,1657,166,3,23,0,34,31,1748,77,1434,157,3,22,0,34,21,385.3,135.4,378.9,147.8,339,65,313,76,382.1,141.6,NA,NA,326,70.5,354,106.1
2100100B104,KY,Adair County,00B104,963,45,864,13,2,4,0,3,32,754,29,677,12,2,4,0,3,27,414.3,51.1,360.4,97.8,501,94,455,110,387.4,74.4,NA,NA,478,102,432.7,88.2
2100100C102,KY,Adair County,00C102,1199,56,1038,51,0,7,1,1,45,1000,36,889,37,0,6,1,1,30,370,96.7,340.2,148.4,356,65,325,74,355.1,122.6,NA,NA,340.5,69.5,347.8,96
2100100C104,KY,Adair County,00C104,1259,19,1195,10,0,0,0,0,35,997,10,962,8,0,0,0,0,17,519.7,103.8,476.9,155.5,820,156,757,184,498.3,129.7,NA,NA,788.5,170,643.4,149.8
2100100D101,KY,Adair County,00D101,766,14,713,3,2,2,1,1,30,585,5,550,2,2,2,0,0,24,344.2,47.1,315.6,66.9,724,136,669,162,329.9,57,NA,NA,696.5,149,513.2,103
2100100D103,KY,Adair County,00D103,819,24,716,2,4,2,0,23,48,631,14,570,2,3,2,0,8,32,323,46.3,271.8,91.6,373,72,341,81,297.4,68.9,NA,NA,357,76.5,327.2,72.7
2100100D104,KY,Adair County,00D104,985,52,813,74,0,0,0,1,45,782,30,663,57,0,0,0,1,31,287.7,108.6,248.5,150.7,332,62,307,73,268.1,129.6,NA,NA,319.5,67.5,293.8,98.6
2100100E101,KY,Adair County,00E101,1051,19,986,16,2,3,0,0,25,790,5,751,14,2,3,0,0,15,472.4,50,405.1,103.6,544,99,501,120,438.8,76.8,NA,NA,522.5,109.5,480.6,93.2
2100100E104,KY,Adair County,00E104,1822,71,1614,73,1,6,2,0,55,1373,45,1226,66,0,4,0,0,32,478.2,156,440.7,198.3,458,83,415,101,459.4,177.2,NA,NA,436.5,92,448,134.6
2100100F101,KY,Adair County,00F101,1575,51,1451,32,6,1,0,1,33,1237,25,1149,27,6,1,0,1,28,498.4,111,431.6,179.2,476,89,438,106,465,145.1,NA,NA,457,97.5,461,121.3
2100100F103,KY,Adair County,00F103,1136,28,1061,3,0,0,0,1,43,867,16,828,2,0,0,0,1,20,506.5,92.2,434.3,158.6,762,141,704,165,470.4,125.4,NA,NA,733,153,601.7,139.2
